Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
main_game_4549657e	alex	Я вернулся... спустя 15 лет.	game/script.rpy	43	alex "[what]"
main_game_6f78106a	alex	Но зачем кто-то отправил мне эти письма?	game/script.rpy	45	alex "[what]"
main_game_b14ffbcf	alex	Но у меня плохое предчувствие.	game/script.rpy	48	alex "[what]"
main_game_5242ea7a		Ты стоишь на въезде в город, вспоминая прошлое.	game/script.rpy	51	"[what]"
scene_2a_1e4a1186	alex	Все осталось таким же, как и в моих воспоминаниях.	game/script.rpy	64	alex "[what]"
scene_2a_c00be56a		Ты заходишь внутрь. В воздухе пахнет пылью. На полу лежит ящик с письмами отца.	game/script.rpy	66	"[what]"
scene_3a_e2b38455		Ты открываешь письма. В них говорится, что твой отец работал в психиатрической лечебнице...	game/script.rpy	79	"[what]"
scene_3a_7ca731fb	alex	Эксперименты? Над людьми?	game/script.rpy	81	alex "[what]"
scene_3b_cede0d0a		Ты слышишь странный шум наверху.	game/script.rpy	94	"[what]"
scene_3b_9ae3e054		На чердаке ты находишь детские рисунки, подписанные твоим именем.	game/script.rpy	96	"[what]"
scene_3b_ebed6239	alex	Я этого не помню...	game/script.rpy	98	alex "[what]"
scene_2b_a32b2e8e		Ты входишь в гостиницу 'Затмение'. Владелец встречает тебя странной улыбкой.	game/script.rpy	111	"[what]"
scene_2b_6c40b325	owner	Как приятно видеть вас снова, [player_name].	game/script.rpy	113	owner "[what]"
scene_2b_9dd0f785	alex	Но... я здесь впервые.	game/script.rpy	115	alex "[what]"
scene_3v_008b9261		Ты следуешь за тенью и находишь скрытую дверь в подвале.	game/script.rpy	128	"[what]"
scene_3v_58b8d2c8		Там ты находишь медицинские архивы с твоим именем.	game/script.rpy	130	"[what]"
scene_3g_9f70aea4		Ты засыпаешь. Во сне ты видишь палату психиатрической больницы.	game/script.rpy	143	"[what]"
scene_3g_66cbd022	unknown	Ты должен вспомнить, [player_name].	game/script.rpy	145	unknown "[what]"
scene_4g_316ee404		Ты оказываешься у старой психиатрической лечебницы.	game/script.rpy	161	"[what]"
scene_4g_9b20dd2b	alex	Отец работал здесь. Что он скрывал?	game/script.rpy	163	alex "[what]"
ending_1_c5022423		Ты находишь документы. В них сказано, что ты был частью эксперимента.	game/script.rpy	176	"[what]"
ending_1_31db29af	alex	Я... Я был пациентом?	game/script.rpy	178	alex "[what]"
ending_1_a08934a5		Воспоминания возвращаются. Ты узнаёшь правду.	game/script.rpy	180	"[what]"
ending_2_b2284b6f		Ты уезжаешь, так и не узнав правды.	game/script.rpy	187	"[what]"
ending_2_97a0eb2f	alex	Я не хочу знать, что случилось.	game/script.rpy	189	alex "[what]"
ending_3_45dc964a		Ты следуешь за голосом. Мир вокруг темнеет.	game/script.rpy	196	"[what]"
ending_3_4618f511	unknown	Добро пожаловать домой.	game/script.rpy	198	unknown "[what]"
ending_3_03dde765		Ты теряешь контроль над разумом.	game/script.rpy	200	"[what]"
